Date,Call Spread,CBLO Spread,Market Repo Spread,P/E Ratio,NSE Return,SMC to GDP Ratio (Buffet Indicator),Forex CMAX,Implied Volatility,Exchange Rates,Bank Credit Growth
Apr-15,-0.170049845,0.087631215,0.087318518,-0.068978239,-0.073875522,-0.000546449,-0.210682758,-0.00500243,-0.17757641,0.021538274
May-15,-0.188043694,0.088783785,0.098470006,-0.082236665,0.036134663,0.027186975,-0.145671561,-0.013798239,-0.144868288,0.025522566
Jun-15,-0.233494317,0.13004518,0.132093488,-0.073950149,-0.026798355,0.030969198,-0.139137688,-0.009613449,-0.141580997,0.001616814
Jul-15,-0.233056218,0.121474873,0.114037184,-0.05212899,0.017826876,0.046300691,-0.150508931,-0.046152867,-0.147302042,0.001616814
Aug-15,-0.206102154,0.095949766,0.09814569,-0.06593985,-0.121770001,-0.003979796,-0.065503122,0.109226842,-0.104534327,0.001616814
Sep-15,-0.17433653,0.083146908,0.075596705,-0.101848086,-0.018788698,-0.003687045,-0.052186007,0.032195704,-0.097834283,0.009585398
Oct-15,-0.167520708,0.076937629,0.072106512,-0.080026927,0.009817219,0.018292211,-0.065119222,0.005149561,-0.104341181,-0.002367478
Nov-15,-0.132516556,0.058786417,0.061315531,-0.110963253,-0.040692658,0.006223463,-0.00067469,-0.017324312,-0.071918157,0.017553982
Dec-15,-0.155120714,0.065862931,0.064852071,-0.1181449,-0.011923278,-0.061242193,0.025025837,-0.057002323,-0.058987831,0.037475441
Jan-16,-0.13784631,0.046077431,0.06548885,-0.139137407,-0.093000621,-0.093829393,0.069172131,-0.004769942,-0.036777159,0.057396901
Feb-16,-0.145726778,0.075480432,0.05629183,-0.166759127,-0.138770089,-0.144979659,0.130031858,0.040449041,-0.006157704,0.061381193
Mar-16,-0.090302559,0.094132556,0.054986031,-0.137756321,0.161510313,-0.080860812,0.049102365,-0.014960681,-0.046874563,0.029506857
Apr-16,-0.008900977,-0.028922887,-0.050812743,-0.112896774,0.009326832,-0.065241919,0.031594344,-0.015658146,-0.061238862,0.001616814
May-16,0.0136391,-0.03772991,-0.041912579,-0.106819995,0.050355891,-0.034240161,0.059355551,-0.023291513,-0.047310208,0.001616814
Jun-16,-0.025738041,0.006285425,0.006802031,-0.078922058,0.011288381,-0.025152319,0.077875219,-0.019494204,-0.038018319,-0.018304645
Jul-16,-0.024437652,0.026872498,-0.010801389,-0.056548465,0.054932838,0.009230242,0.07298652,-0.040766887,-0.040471131,-0.002367478
Aug-16,0.00157013,-0.029729203,-0.044544905,-0.047709515,0.013740316,0.02278043,0.060302639,-0.066728085,-0.046835025,-0.00635177
Sep-16,0.003949927,-0.040674373,-0.04692275,-0.035832176,-0.046740766,0.004267342,0.048914332,-0.005699895,-0.05254889,0.09723982
Oct-16,0.014799001,-0.04378687,-0.046012863,-0.055996031,-0.009144418,0.010957486,0.04717909,-0.031893582,-0.053419514,-0.066116148
Nov-16,-0.013460167,-0.020403141,-0.021330693,-0.09356157,-0.092510234,-0.051665276,0.1037815,-0.010814639,-0.025020339,-0.141817695
Dec-16,-0.011393501,0.007866484,-0.013640985,-0.10737243,-0.021894484,-0.127344753,0.114462873,-0.032281063,-0.019661165,-0.17369203
Jan-17,-0.045034228,-0.005143049,0.000553539,-0.081131796,0.060817484,-0.09304424,0.130031858,-0.011202119,-0.011849725,-0.193613489
Feb-17,-0.054915052,0.0094694,0.027282599,-0.059310637,0.046596256,-0.05189971,0.063778194,-0.058203513,-0.045091232,-0.201582073
Mar-17,-0.066254084,0.048646146,0.091018841,-0.052681425,0.039894298,-0.014483831,-0.000141807,-0.079476196,-0.077161868,0.001616814
Apr-17,-0.000949655,-0.032712172,0.06652486,-0.055443597,0.008999907,0.004550014,0.096704337,-0.103654984,-0.118721083,-0.15377057
May-17,0.041550719,-0.066669151,-0.077690448,-0.031136483,0.041528922,0.04315429,0.088267028,-0.089666935,-0.122767837,-0.169707738
Jun-17,0.06463475,-0.082665938,-0.097921473,-0.02947918,-0.03121184,0.043442697,0.089357824,-0.090131912,-0.122244663,-0.141817695
Jul-17,0.058873136,-0.074319436,-0.088942087,-0.007658022,0.081250282,0.095590622,0.089806321,-0.087535792,-0.122029552,-0.121896235
Aug-17,0.084069758,-0.10204666,-0.081840795,-0.000200157,-0.040038808,0.082510862,0.061034964,-0.086722083,-0.135829048,-0.113927651
Sep-17,0.077383662,-0.074777413,-0.073811395,0.016925309,-0.035461862,0.073802166,0.084935514,-0.078468747,-0.124365719,-0.0900219
Oct-17,0.080313412,-0.067402036,-0.081525487,0.024383173,0.077163722,0.138926613,0.130031858,-0.079166212,-0.102736331,-0.07010044
Nov-17,0.077961613,-0.07995879,-0.081687645,0.026869128,-0.031375302,0.14517444,0.115475719,-0.061962074,-0.109717837,0.017553982
Dec-17,0.088557972,-0.093991598,-0.099388482,0.028802648,0.034336577,0.089476348,0.076465799,-0.07560139,-0.128428015,0.065365485
Jan-18,0.082545853,-0.088745688,-0.08604031,0.051452458,0.062942495,0.134706787,0.039156001,-0.025073924,-0.146322772,0.045444025
Feb-18,0.095943954,-0.102315837,-0.096332549,0.006429055,-0.093491008,0.08302816,0.086743527,-0.058009772,-0.123498548,0.057396901
Mar-18,0.082833197,-0.080105366,-0.07617427,-0.011248845,-0.073221673,0.038534536,0.127760756,-0.02774754,-0.103825611,0.001616814
Apr-18,0.078516899,-0.067899673,-0.066832161,0.017201526,0.086971465,0.100711373,-0.313415933,-0.080367401,-0.085861353,0.093255528
May-18,0.09170494,-0.090618187,-0.094368409,0.033222123,-0.014702139,0.09960163,-0.209935046,-0.06703807,-0.029753146,0.109192696
Jun-18,0.07974646,-0.063208308,-0.080309302,0.03847025,-0.017480999,0.095848001,-0.19481785,-0.071455348,-0.021556475,0.109192696
Jul-18,0.091442463,-0.109420745,-0.100497985,0.050071372,0.083702218,0.145964678,-0.14379468,-0.078546243,0.006108716,0.089271236
Aug-18,0.070063661,-0.09539415,-0.0877179,0.078521744,0.032375028,0.162148388,-0.100004481,-0.076725084,0.029852131,0.16098849
Sep-18,0.102592511,-0.042443249,-0.09533325,0.057529237,-0.119154603,0.090130419,0.046962295,-0.008567252,0.109538752,0.117161279
Oct-18,0.105279177,-0.040949621,-0.080817112,-0.009039108,-0.09561602,0.045175847,0.130031858,0.03486932,0.154579767,0.20083141
Nov-18,0.08115334,-0.080919682,-0.092065764,0.005876621,0.062942495,0.086199482,0.039887626,0.025027314,0.105702807,0.216768577
Dec-18,0.106281197,-0.108660716,-0.109407672,0.019135046,-0.016336762,-0.003367709,-0.026653495,-0.023988978,0.069623652,0.176925658
Jan-19,0.082823198,-0.095476552,-0.092451855,0.019411264,-0.018952161,-0.004620096,-0.034889973,-0.006591101,0.065157764,-0.030257521
Feb-19,0.116395334,-0.121888828,-0.125335201,0.035431861,-0.020096397,-0.02013668,-0.001525426,0.011310502,0.083248302,0.192862826
Mar-19,0.093752266,-0.092645834,-0.108930207,0.065815753,0.111654285,0.028201115,-0.089314248,-0.005622399,0.035648465,0.157004199
